Matrix ID,Role or user state,Profile or health state,Data state,Flag or dependency state,Expected UI,Expected HTTP or server behavior,Expected data effect,Expected analytics,Current evidence,Verdict,Finding IDs
S01,anonymous first visit,no profile,empty storage,normal public flags,"landing then first-run onboarding on app entry","public 200; no private data","local onboarding state only","bounded onboarding events without meal/A1C",source and browser coverage,PARTIAL,
S02,returning guest,local A1C only,local history 1-50,legacy paywall,"check/home/meals available; daily free limit copy","guest check allowed subject to IP/global caps","local history; no server health data","bounded risk/input-method events",unit and browser stubs,PARTIAL,
S03,returning guest,local A1C,taster same day used 0-9,trial paywall,"remaining counter and check form","check API guest path; client permits submit","taster increments only after result","taster_check count only",trial-wall browser coverage,PARTIAL,
S04,returning guest,local A1C,taster used 10 or prior day,trial paywall,"redirect to /subscribe before model request","no /api/check call expected","no new check","wall view only",browser coverage,PARTIAL,
S05,signed-in free,valid consent/profile,0-5 checks today,legacy paywall,"free capability/history window","server count permits up to courtesy limit","encrypted check row when consented","no meal text/A1C",unit coverage,PARTIAL,
S06,signed-in free,valid profile,limit reached,legacy paywall,"calm daily-limit upsell","402 before model call","no check row/provider spend","bounded daily_cap",unit coverage,PARTIAL,
S07,signed-in free,valid profile,any history,trial paywall,"trial wall after taster","402 before text model when entitlement read succeeds","no check row","bounded daily_cap",unit coverage,PARTIAL,
S08,trialing/Premium monthly/Premium annual,valid profile,0-10 client taster uses,trial paywall,"unlimited check form","server permits unlimited and persists","encrypted row","normal check_completed",server unit only; client composition meters user,FAILED,AUD-009
S09,trialing/Premium monthly/Premium annual,valid profile,client taster exhausted/expired,trial paywall,"should still check","client redirects /subscribe before server authority","no request or row","false wall event possible",static call path,FAILED,AUD-009
S10,canceled but still entitled,valid profile,subscription history,normal,"Premium until currentPeriodEnd with cancel status","server tier premium until period end","normal Premium data access","cancellation state only",entitlement/cancel unit,PARTIAL,
S11,lapsed/expired/refunded,valid profile,subscription history,normal,"free/lapsed truthful state; never outage masquerading as tier","server revokes Premium with terminal guards","data retained under stated policy; no new paid access","bounded lapse/failure",unit coverage,PARTIAL,
S12,admin exact ADMIN_EMAIL,any profile,queue data,normal,"admin feedback/Pantry/support pages and actions","authorized read/mutation","queue status only","admin operational events only",handler unit; browser incomplete,PARTIAL,
S13,ordinary signed-in user,any profile,queue data,normal,"admin surfaces absent/not found","404 rather than existence disclosure","no mutation","none",handler unit,PARTIAL,
S14,preview reviewer,reviewer fixture profile,fixture identity rows,reviewer flag+secret+nonproduction,"reviewer form then ordinary signed-in product access","server accepts only exact preview controls","ordinary user/session/profile rows; no admin role","bounded auth events",source/unit; enabled browser unverified,PARTIAL,
S15,production visitor,none,none,reviewer client or server asymmetric,"no reviewer surface and no bypass","must fail closed","no user/session","none","production variables absent; no production build mismatch guard for reviewer",PARTIAL,AUD-002
S16,any checker,A1C 5.69,any,normal or model credential missing,"below-range card no verdict regardless of provider configuration","Configured placeholder reaches 200 out_of_scope; missing model credential returns generic retry before A1C routing","no successful check result persistence","out-of-scope only","exact optimized HTTP replay at 5.69 in both dependency states",FAILED,AUD-025
S17,any checker,A1C 5.70-5.99,any,normal,"low prediabetes band result","normal model path after prechecks","snapshot band 57_59","band not emitted with exact value",unit/eval,PARTIAL,
S18,any checker,A1C 6.00-6.29,any,normal,"middle band result","normal model path","snapshot band 60_62","bounded",unit/eval,PARTIAL,
S19,any checker,A1C 6.30-6.49,any,normal,"most cautious in-scope band result","normal model path","snapshot band 63_64","bounded",unit/eval,PARTIAL,
S20,any checker,A1C 6.50+,any,normal or model credential missing,"high-range out-of-scope card no verdict regardless of provider configuration","Configured placeholder reaches out_of_scope; missing credential returns generic retry before A1C routing","no result persistence","out-of-scope only","exact optimized HTTP replay at 6.50 in both dependency states",FAILED,AUD-025
S21,any checker,missing/malformed/nonfinite A1C,any,normal or model credential missing,"field validation or explicit invalid response before model","Missing/string/oversize requests return HTTP 200 retry; missing model credential can replace even that message with provider retry","no row","schema_error internally but HTTP appears successful","exact optimized direct API matrix",FAILED,"AUD-025; AUD-027"
S22,signed-in account,withdrawn consent,no saved health rows,normal,"account remains usable in guest-like no-history mode","profile/check persistence denied or omitted","health rows erased; login/subscription remain","withdrawal event must be bounded",handler unit; browser missing,PARTIAL,
S23,deleted account,n/a,all rows removed,normal,"session ends; re-login may recreate identity","delete succeeds only after provider/Blob safety gates","user cascades; hashed deletion record remains","no identity in deletion log",handler unit; copy contradicts blockers/retention,FAILED,AUD-013
S24,any user,valid profile,empty/one/paginated/corrupted history,normal,"truthful empty/list/retry states","owner-scoped query/search/delete/export","only owner rows change","no meal text in URL/events",unit and partial browser,PARTIAL,
S25,Premium user,valid profile,memory empty/one/paginated,both Memory flags off,"no Memory UI","404 normal memory API except export remains session-only","existing rows retained/exportable/deletable per route design","none",unit source; production off,PARTIAL,AUD-002
S26,Premium user,valid profile,memory existing,client on/server off,"UI can render but API 404","server twin fails closed","no mutation","possible failed interaction event","no production mismatch guard",FAILED,AUD-002
S27,Premium user,valid profile,memory existing,client off/server on,"no advertised UI but authenticated API reachable","server authorizes Premium","mutations possible through direct API","bounded","no production mismatch guard",FAILED,AUD-002
S28,Premium user,valid profile,memory existing,both Memory flags on,"save/recall/edit/search/favorite/delete/export","owner and tier enforced; engine must ignore memory","encrypted memory rows only","no meal text","unit only; browser unverified",UNVERIFIED,AUD-002
S29,Premium user,valid profile,journey not_started,both Journey flags on,"start journey and derived stage","GET state; POST start singleton","learning_journeys row","bounded state event","sequential unit only; true race 500",FAILED,AUD-020
S30,Premium user,valid profile,journey paused,both Journey flags on,"paused UI and no journey nudge","nudge stop rule","state retained; no send","no send event",unit,PARTIAL,
S31,Premium user,valid profile,journey paused,server Journey flag removed,"feature UI absent and pause should remain quiet","current cron ignores journey state and sends generic nudge","push attempt/date mutation","generic nudge event",explicit unit confirms send,FAILED,AUD-019
S32,Premium user,valid profile,journey graduated/maintenance,both flags on,"graduation choice or lower-intensity maintenance","stop or selected maintenance behavior","state and cadence update","bounded stage/class",unit only,PARTIAL,
S33,any user,valid profile,photo none,both Photo flags off,"no photo control","404 before model","no image stored","none",unit and browser,PARTIAL,
