Run ID,Started UTC,Duration seconds,Candidate,Environment,Evidence class,Command,Exit code,Passed,Failed,Skipped,Retries,Warnings or limitations,Artifact path
R001,2026-07-24T01:54:34Z,21,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,dependency setup,npm ci,0,,,,,"npm reported 1 high and 2 critical advisories before reachability review",none
R002,2026-07-24T01:55:17Z,21,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,local static,env -u REVORA_MODEL -u OPENAI_BASE_URL npm run lint,0,1,0,0,0,"ESLint emitted no warnings",terminal transcript
R003,2026-07-24T01:55:58Z,20,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,local static,env -u REVORA_MODEL -u OPENAI_BASE_URL npm run typecheck,0,2,0,0,0,"Next route types generated; tsc emitted no errors",.next/types/routes.d.ts
R004,2026-07-24T01:56:44Z,459,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,"local deterministic mocked and PGlite",env -u REVORA_MODEL -u OPENAI_BASE_URL npm test,0,1988,0,2,0,"178 test files passed; 1 file skipped; skipped cases are live provider eval gates and are not passes; Vitest reported 457.61s",terminal transcript
R005,2026-07-24T02:04:43Z,0,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,local static,env -u REVORA_MODEL -u OPENAI_BASE_URL npm run contract,0,9,0,0,0,"All nine validator flags passed but qualitative-only omits grams timing and treatment patterns and therefore does not detect AUD-015",terminal transcript
R006,2026-07-24T02:05:19Z,114,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,local build,env -u REVORA_MODEL -u OPENAI_BASE_URL npm run build,0,89,0,0,0,"Generic build passed; VERCEL_ENV was unset so production-only measurement and flag-twin guards were not exercised",.next
R007,2026-07-24T02:07:45Z,3,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,production-config static,"import next.config.ts under four client-on/server-off flag cases",0,2,2,0,0,"Photo and longitudinal rejected as expected; Meal Memory and Learning Journey incorrectly imported with exit 0 and no guard",terminal transcript
R008,2026-07-24T02:08:08Z,3,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,deterministic fixture eval,env -u REVORA_MODEL -u OPENAI_BASE_URL npm run eval:revora,0,11,0,0,0,"Fixture-replayed outputs and deterministic routes; no live model proof",terminal transcript
R009,2026-07-24T02:08:29Z,2,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,live-provider setup gate,env -u REVORA_MODEL -u OPENAI_BASE_URL -u OPENAI_API_KEY -u REVORA_LIVE_EVAL npm run eval:pantry-extract,0,1,0,1,0,"Only setup explanation passed; live extraction-quality test skipped because authorization/key/labeled corpus gate was not armed",terminal transcript
R010,2026-07-24T02:08:47Z,2,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,live-provider setup gate,env -u REVORA_MODEL -u OPENAI_BASE_URL -u OPENAI_API_KEY npm run eval:meal-photo,0,0,0,1,0,"Whole test file skipped; no explicit live opt-in exists and the key was intentionally removed to prevent spend/private fixture disclosure",terminal transcript
R011,2026-07-24T02:09:21Z,0,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,engineering packet structure,npm run review:dietitian:validate,0,1,0,0,0,"8 governance routes; 159 eval cases; 40 clinical cases; packet says pending_external_panel. Outsider status is not used in any audit verdict and the pass does not close AUD-015",terminal transcript
R012,2026-07-24T02:09:46Z,3,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,production dependency audit,npm audit --omit=dev,1,0,3,0,0,"@auth/core dependency tree: two critical and one high advisory; reachability reviewed separately",terminal transcript
R013,2026-07-24T02:10:07Z,1,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,full dependency audit,npm audit,1,0,3,0,0,"Same three production advisories; no additional dev-only advisory",terminal transcript
R014,2026-07-24T02:15:31Z,2,24d88ec85ba52162544e0336a189db340c18616d,isolated disposable loopback PostgreSQL,local migration,npx drizzle-kit migrate,0,18,0,0,0,"All 18 migrations applied; resulting public schema has 22 tables; no existing container or remote store was touched",revora-audit-20260723-pg
R015,2026-07-24T02:16:18Z,0,24d88ec85ba52162544e0336a189db340c18616d,isolated detached worktree,repository integrity,git diff --check,0,1,0,0,0,"Clean production candidate worktree; root worktree's pre-existing trailing whitespace remains separately recorded as AUD-001",terminal transcript
