ID,Severity,Surface,Evidence bucket,Reproduction,Expected,Actual,Root cause,User/business risk,Fix,Regression test,Retest,Status,Owner/blocker
AUD-001,P3 MINOR,Repository hygiene,dirty or uncommitted local work,"At b5c03f4666ea793923482b08fd53c45c037467e7 run: git diff --check","No whitespace errors in the opening dirty candidate","docs/retention_flow.md:77 reports trailing whitespace","Pre-existing user-owned edit contains a whitespace-only line","Does not change runtime behavior; prevents a clean diff gate and can obscure later audit-generated defects","Not changed because this execution is report-only and the path is user-owned","git diff --check","Not retested after a fix; no fix authorized",OPEN,Repository owner
AUD-002,P1 MAJOR,Meal Memory and Learning Journey configuration contract,current committed local source,"Compare lib/meal-memory-flag.ts:24-33 and lib/learning-journey-flag.ts:22-31 with .env.example docs/ops/env-reference.md next.config.ts:33-53 and scripts/e2e-runtime-env.ts:71-116","Every client/server flag pair is documented guarded against asymmetric production activation and blanked in isolated E2E","All four Memory/Journey variables are absent from both environment references; the production twin guard covers only Photo/Insights; isolated E2E does not blank the four variables","The retention features landed after the older environment/guard allowlists and those allowlists were not extended","A client-on/server-off build can advertise UI backed by 404 routes; server-on/client-off can expose unadvertised APIs; E2E can inherit ambient flags and cease to be reproducible","Document all four variables; extend the production twin guard and isolated E2E environment to both pairs","Production-build mismatch tests for both pairs plus an ambient-env E2E isolation test","Source reproduction confirmed; no fix or post-fix retest authorized",OPEN,Engineering
AUD-003,P1 MAJOR,Meal-photo evaluation safety and spend,current committed local source,"With tests/fixtures/meal-photos/labels.json present and OPENAI_API_KEY set run npm run eval:meal-photo; tests/evals/meal-photo-eval.test.ts:16-30 arms the live suite without any explicit live flag","A named baseline command remains deterministic unless an operator explicitly selects live mode with a budget and reviewed fixtures","The ordinary eval:meal-photo command becomes live-paid solely from ambient key plus file presence and sends founder meal photos to the configured model route","Live-mode selection is encoded as implicit environment discovery rather than an explicit opt-in contract","An auditor or CI job can incur spend and disclose fixture images unintentionally; filenames and extracted item names are also printed on hallucination","Require an explicit live opt-in and spend rail; keep deterministic fixture validation under the default command; redact logged fixture/item details","Test that a key and labels alone do not arm provider calls; test explicit opt-in and budget failure","Source reproduction confirmed; command intentionally not run live because authorization and budget were absent",OPEN,Engineering and privacy owner
AUD-004,P2 MODERATE,Environment and paywall operations documentation,current committed local source,"Compare .env.example:1-69 and docs/ops/env-reference.md:1-80 with lib/server/pricing.ts:44-48 and production GET /api/paywall","Environment guidance is internally consistent and accurately states active defaults and environment placement","The example says all variables are server-only then defines NEXT_PUBLIC_PLAY_BILLING; says all belong in Vercel Production+Preview then lists CLI/test-only variables; the env reference says PAYWALL_MODE defaults to legacy while source and production default to trial; retention flags and server twins are absent","Operator documentation was updated incrementally and drifted behind the runtime contract","Operators can unintentionally expose the trial wall or misplace secrets/test seams, and cannot configure new features from a complete source of truth","Replace conflicting blanket statements with per-variable scope; correct the paywall default; document every active flag and twin","Static env-contract test comparing referenced process.env names, documented names, and runtime defaults","Source and live paywall reproduction confirmed; no fix or post-fix retest authorized",OPEN,Engineering and operations
AUD-005,P2 MODERATE,Production-only build gates,clean branch/commit and CI evidence,"Inspect .github/workflows/ci.yml:40-73 and next.config.ts:11-53; the static CI build does not set VERCEL_ENV=production","CI directly exercises measurement and client/server flag mismatch guards in the same mode used for production builds","Normal CI build bypasses all production-only branches; no direct unit test was found for those guards","The workflow validates a generic build but relies on Vercel deployment builds to exercise production-only configuration","A broken production guard can merge green and is discovered only during deployment; branch CI does not prove deployability under required production config","Add deterministic production-config guard tests or a production-mode build job with synthetic non-secret configuration","Tests for missing measurement and every client/server mismatch under VERCEL_ENV=production","Current main CI success confirmed but does not close this branch; no fix authorized",OPEN,Engineering and CI
AUD-006,P2 MODERATE,Auth.js provider-account schema,current committed local source,"Inspect lib/server/db/schema.ts:38-58; accounts.expires_at is PostgreSQL smallint","OAuth/provider expiry timestamps fit the Auth.js adapter contract","expires_at uses a signed 16-bit integer although Unix expiry timestamps are roughly ten digits","The provider-account schema chose smallint instead of integer/bigint","Current email-only magic-link auth may avoid the column, but enabling OAuth or importing provider accounts can overflow and break login/token refresh","Migrate expires_at to integer or bigint before any OAuth/provider-account path is enabled","Schema test asserting a realistic Unix expiry round-trips plus migration regression","Static source finding confirmed; current email-only path was not shown to write this column",OPEN,Engineering before OAuth enablement
AUD-007,P1 MAJOR,Public progress promise,current committed local source and production behavior,"Open the production landing page and inspect app/page.tsx:267-275; compare with app/(app)/journey/page.tsx:20-38 and the rendered journey implementation","Public copy describes the progress artifact users can actually access","The landing says there is a weekly progress score; the current journey intentionally renders no score bands or percentages and keeps BAI only for internal measurement","The C7 journey redesign removed the user-visible score but the acquisition copy was not reconciled","A buyer can choose Revora based on a recurring progress feature that the product deliberately does not provide","Replace the score promise with the actual non-scored weekly recap or restore a truthful user-visible artifact","Browser assertion tying landing progress copy to the active journey capability and rendered state","Source path is identical at deployed SHA 24d88ec; live visual evidence pending screenshot",OPEN,Product and engineering
AUD-008,P1 MAJOR,Promoted meal-check example,current committed local source,"Compare app/page.tsx:218-228 and components/demo-check-card.tsx:1-77 with lib/revora/promise-registry.ts:13-24 and rows whose lastLiveCaptureAt is null","A surface labeled as the actual answer is reproduced through the real current engine and evidence is recorded","The page calls a static fixture the actual answer and a real example; the implementation explicitly says no live check runs, the registry guards route shape rather than model wording, and every promoted example has no live-capture timestamp","Marketing language overstates a route-shape fixture as current real-engine output","Users may infer exact meal-specific quality and consistency that has never been reproduced on the current live model path","Label it as an illustration until a privacy-safe authorized live capture proves the current engine output; then record revision model route and timestamp","Test that public wording matches evidence state; authorized capture contract for every promoted example","Static contradiction confirmed; live-provider reproduction not authorized and remains UNVERIFIED",OPEN,Product and model-evidence owner
AUD-009,P1 MAJOR,Premium unlimited-check entitlement,current committed local source,"In trial mode sign in as an entitled Premium user with no taster state; complete ten successful checks in components/food-check-form.tsx then attempt an eleventh","Premium entitlement bypasses every client and server free-use meter","FoodCheckForm never resolves session or entitlement; it sets anonymousTaster=true for every successful result at lines 296-299 and shouldGateSubmit redirects any exhausted device store before calling /api/check. app/welcome/page.tsx clears the store once but the next Premium result immediately recreates it","A session-agnostic guest meter is composed ahead of the server-authoritative entitlement path","A paying or trialing user can be blocked by /subscribe after ten successful checks on a device despite the unlimited-check promise; the server's correct unlimited entitlement is never reached","Make the client gate entitlement-aware or make the server response authoritative before redirecting; never meter authenticated Premium results as anonymous","Signed-in Premium Playwright journey covering checks 1 through 11 plus trialing annual monthly and lapsed controls","Static call-path reproduction confirmed; existing helper and server tests test the two halves separately and no fix/retest is authorized",OPEN,Engineering and billing
AUD-010,P1 MAJOR,Pantry Review price authority,current committed local source and live Stripe catalog,"Compare app/pantry/page.tsx PRICE_LINE and app/page.tsx Pantry copy with createPantryCheckoutSessionHandler in app/api/billing/handlers.ts; list active live Stripe Revora prices read-only","Displayed one-time price comes from the same server-authoritative Price object the checkout session charges","Both public surfaces hard-code $49 while checkout blindly charges whichever Price ID STRIPE_PRICE_PANTRY names. The live Stripe catalog currently contains a $49 one-time Revora price but the encrypted deployed binding could not be read safely and no shared display authority exists","Pantry pricing was explicitly left as a build-time constant while billing configuration remained independently mutable","A configuration change can cause a buyer to see $49 and authorize a different amount; the current catalog reduces but does not remove that risk because binding identity is unverified","Resolve and return the configured Pantry price server-side and render that value; fail closed without a verified matching amount/currency","Contract test binding rendered amount currency cadence and exact checkout line item to the same configured Price; provider test-mode checkout assertion","Source defect and $49 live catalog object confirmed; deployed binding and checkout session deliberately not mutated so current charge identity remains UNVERIFIED",OPEN,Engineering and billing operations
