API ID,Endpoint/method,Caller,Authz/tier/flag,Valid case,Invalid or unauthorized case,Dependency failure and recovery,Data effect,Privacy evidence,Test/evidence,Verdict,Finding IDs
A001,GET /.well-known/security.txt,public,none,"200 text/plain contact policy","No user input","Static; no dependency","None","No user data","security-txt unit; production HTTP 200",PROVEN,
A002,POST /api/account/delete,signed-in user,"session; provider cancellation constraints","Cancel Stripe then delete local account","401 anonymous; 409 active Play","Stripe failure 503; database/blob failure handling is tested but live recovery unverified","Deletes user graph and Pantry blobs; adds hashed deletion_log record","Owner session; hashed audit record; external provider retention remains","account-delete unit and account browser fixture",FAILED,AUD-013
A003,GET /api/account/export,signed-in user,session,"200 attachment with selected profile/reflection/Pantry/support data","401 anonymous","Parallel query failure becomes request failure; no live large-account recovery proof","Read only","Owner-filtered; no query-string health text","account-export unit; production anonymous 401",FAILED,AUD-012
A004,DELETE /api/account/health-data,signed-in user,session,"Delete health-scoped tables after billing check","401 anonymous; 503 when access state cannot be established","Billing/DB failure fails closed; provider and backup residue unverified","Deletes profile/check/feedback/memory/journey/reflection/BAI rows and related state","Owner-scoped; deletion log and non-health billing records remain","health-data-delete unit; production anonymous 401",PARTIAL,
A005,POST /api/admin/feedback,admin,"session email in ADMIN_EMAILS","List or mutate feedback queue action","404 ordinary/anonymous; 400 malformed","DB error path unit-tested; production admin journey not exercised","Reads/updates check_feedback remediation state","Not-found concealment; encrypted check content only on authorized path","feedback-routes unit; admin page production 404",PARTIAL,
A006,GET /api/admin/support,admin,"session email in ADMIN_EMAILS","List privacy-minimized support queue","404 ordinary/anonymous","DB failure is generic; live recovery unverified","Read only","Not-found concealment; encrypted message decrypts only for admin","support/admin unit; ordinary production page denied",PARTIAL,
A007,PATCH /api/admin/support,admin,"session email in ADMIN_EMAILS","Transition one support case","404 ordinary/anonymous or missing case; 400 malformed","DB failure is generic; concurrent transition behavior unverified","Updates support case status/timestamps","Owner content stays server-side; no analytics payload","support/admin unit",PARTIAL,
A008,POST /api/admin/pantry,admin,"session email in ADMIN_EMAILS","List/claim/process/retry/refund-support actions by action body","404 ordinary/anonymous/order; 400 malformed","Email/model/blob/DB partial failures covered only in isolated units","Mutates Pantry order lifecycle and may send claim email","Not-found concealment; encrypted report/item paths","admin-pantry and Pantry process units; production page denied",PARTIAL,AUD-021
A009,GET /api/auth/[...nextauth],browser/Auth.js,"Auth.js route contract","Provider/callback/session endpoints","Auth.js validation errors","Postgres/Resend outages handled by framework; live safe-mailbox recovery unverified","Reads/writes session/verification/account state by action","Current dependency normalizer is vulnerable before delivery","Auth/session units; dependency reachability audit",FAILED,AUD-024
A010,POST /api/auth/[...nextauth],browser/Auth.js,"email provider; rate controls upstream","Request magic link or complete callback","Malformed provider/action rejected by framework","Resend/DB failure; reused/expired-link browser proof incomplete","Creates verification token/user/session as applicable","Email identity and token handling; no real email sent in audit","magic-link units and mocked browser states",FAILED,AUD-024
A011,POST /api/auth/reviewer-signin,store reviewer,"non-production; REVIEWER_TEST_SECRET; exact reviewer email","Create one hashed Auth.js token and redirect to callback","404 in production/unset secret/wrong secret/email","DB failure fails request; no live email","Writes verification_tokens","Timing-safe secret compare; fixed synthetic reviewer identity","reviewer-signin and timing-safe units; production route concealed",PROVEN,
A012,GET /api/billing/cancel,signed-in subscriber,"session; matching signed cancel token","Render/confirm direct cancellation state","401/400/404 invalid session/token/subscription","Stripe lookup outage returns retry; reconciliation is separate","Read only or status projection","Signed user and scoped token; no health data","cancel-route/token units; account billing browser fixture",PARTIAL,
A013,POST /api/billing/cancel,signed-in subscriber,"session; matching signed cancel token","Set provider cancel-at-period-end and local state","401/400/404 invalid; terminal-state guards","Stripe failure fails without falsely revoking earned access; live lifecycle unverified","Updates provider and subscriptions row","No meal text; billing telemetry redacted","cancel-route and billing lifecycle units",PARTIAL,
A014,POST /api/billing/play/rtdn,Google Pub/Sub,"Play flag/config; verified Google identity/envelope","Verify notification then refresh matching purchase","404/off; 400 malformed; 401/403 invalid identity","Google/DB outage returns failure for redelivery; ordering tests exist","Upserts subscription and event state","Purchase tokens restricted to server/DB; telemetry redaction tests","play-api and entitlement units; no licensed-device evidence",UNVERIFIED,
A015,POST /api/billing/play/verify,Android signed-in user,"session; Play enabled; package/product allowlist","Verify token with Google and restore entitlement","401 anonymous; 400 malformed; 404/off; invalid product/token denied","Google/DB timeout fails closed; later restore can recover","Upserts Play subscription","Purchase token never returned to other users; cross-user tests","play-api/entitlement units; no sandbox device run",UNVERIFIED,
A016,POST /api/billing/stripe/checkout,signed-in user,"session; legal acceptance; server price allowlist","Create monthly/annual Checkout Session","401; 400 bad plan/legal; config failure","Stripe failure yields retry; duplicate-session/provider proof incomplete","May create/update customer linkage; no entitlement until provider event","No meal/A1C in metadata; billing telemetry redacted","billing-routes/pricing units; no new test-mode session in audit",PARTIAL,
A017,POST /api/billing/stripe/pantry-checkout,buyer,"legal acceptance; configured Pantry price","Create one-time Checkout Session","400 bad legal/body; config failure","Stripe failure yields retry; displayed-price binding unverified","Provider session only; webhook creates order","No health input; customer email handled by Stripe","pantry-checkout/webhook units; live catalog read-only",FAILED,AUD-010
A018,POST /api/billing/stripe/portal,signed-in subscriber,session,"Create provider customer-portal session","401; 404 no customer","Stripe outage returns safe error","No local mutation","Only provider customer id leaves server","billing-routes unit; browser stub only",PARTIAL,
A019,POST /api/billing/stripe/sync,signed-in checkout return,"session; scoped checkout session id","Verify provider session and self-heal entitlement","401; 400/404 wrong or invalid session","Stripe/DB failure remains syncing/retry; unit recovery coverage","Upserts subscription from verified provider truth","Session id body not URL; no health data","billing-routes and stripe-self-healing units",PARTIAL,
A020,POST /api/billing/stripe/webhook,Stripe,"webhook signing secret; signature","Persist event inbox then process ordered lifecycle","400 bad signature/body; 503 missing secret","Durable inbox/replay/out-of-order/terminal guards and retry units","Inserts billing_event_inbox; upserts subscription/Pantry order/email work","Raw event redaction and minimized telemetry tests","billing inbox/webhook/reconcile units; no new test-mode mutation",PARTIAL,
A021,POST /api/check/photo-draft,guest or signed-in user,"both photo flags; launch/caps; Premium in trial mode","Validate image and return editable text draft","404 flag-off; 400 invalid/size/type; 402 known non-Premium","Vision retry is safe; entitlement lookup exception incorrectly continues to provider","No intended raw-photo persistence; model receives image","Upload boundary and no-history persistence units; provider route unverified","photo route/downscale tests; flag-off E2E; no live call",FAILED,"AUD-003; AUD-022"
A022,POST /api/check,guest or signed-in user,"launch; A1C/input; entitlement/caps; model only after deterministic routes","Return clinical/out-of-scope/clarify/result/retry and persist owned snapshot","402 wall; 429 cap/rate; malformed currently 200 retry","Missing model config incorrectly preempts deterministic routing; provider/schema failures retry","Persists encrypted check for consenting signed user; guest local only","POST body; analytics omit text/A1C; owner snapshot tests","service/route/eval corpus; exact optimized HTTP and browser failures",FAILED,"AUD-009; AUD-014; AUD-015; AUD-025; AUD-027"
A023,GET /api/coach,signed-in user,session,"Return derived recap/progress/next action","401 anonymous","DB/decrypt failure returns unavailable state; production heavy-account proof absent","Read only","Owner-scoped decrypted checks; response avoids raw analytics","coach-route/compute units; dashboard E2E",PARTIAL,AUD-007
A024,GET /api/cron/bai-weekly,scheduler,"timing-safe CRON_SECRET bearer","Compute/upsert internal weekly BAI","401 missing/wrong secret","500 and heartbeat/error path; duplicate-idempotency units","Upserts bai_weekly and heartbeat","No public exposure; internal score not rendered","bai-cron units; Railway five-run aggregate",PARTIAL,
A025,GET /api/cron/nudge,scheduler,"timing-safe CRON_SECRET; user preferences/cadence","Select and send eligible reminders then heartbeat","401 missing/wrong secret","Push failures leased/retried; feature rollback violates paused state","Updates push leases/results and heartbeat","No meal text in notification/telemetry","nudge units; Railway aggregate",FAILED,AUD-019
