Promise ID,Exact promise or faithful paraphrase,Surface,Intended user,Required behavior,Enforcement source,Required evidence,Current evidence,Verdict,Finding IDs
P01,"Cautious educational meal-composition read for adults using A1C 5.7-6.4; not diagnosis treatment suitability or prediction","landing; onboarding; check; Terms; Privacy; store draft","intended adult","Stay qualitative and informational; route clinical pediatric and out-of-range inputs without treatment advice or personal-outcome claims","docs/safety/claims-boundary.md; routeA1C; clinical pre-route; prompt/postprocess","deterministic and browser corpus on exact candidate plus rendered-copy scan","The active possible-hypoglycemia response gives quantitative food/timing first-aid on broad triggers; pediatric inputs can receive ordinary adult results; five indirect personal-safety/prediction phrases pass the runtime gate",FAILED,"AUD-015; AUD-030; AUD-031"
P02,"Understand a meal's balance in seconds with one plain label reason and practical next action","landing; check; onboarding","first-time user","Real /api/check path returns a useful grounded card within the stated time","checkFood; postprocess; ResultCard","timed real-path reproduction across representative meals and user comprehension evidence","The exact optimized route works for deterministic/stubbed paths but all 12 boundary/clinical cases collapsed to a generic retry when the model credential was missing; live-provider quality and real-user comprehension/usefulness were not authorized or available",FAILED,AUD-025
P03,"The oatmeal illustration is the actual answer users get","landing demo","prospect","Promoted answer reproduces through the current real engine","DemoCheckCard; promise registry","authorized current provider capture tied to revision/model/time","Static fixture; implementation says no live check runs; lastLiveCaptureAt is null",FAILED,AUD-008
P04,"Text yields Clear Be careful or Hold off with one grounded reason and an appropriate conditional adjustment","check; result; history","meal checker","Schema floors grounding and result fields agree with input","schemas; input precheck; postprocess; ResultCard","full deterministic strata plus authorized real-model corpus","The 159-case deterministic corpus passes most schema/floor checks but deliberately exempts two harmful-SAFE outputs and no live-provider corpus was run",FAILED,AUD-029
P05,"Labels describe only general meal-pattern categories and never personal suitability","all result marketing history and Pantry surfaces","all users","Every output uses shared qualitative semantics","RISK_LABELS; claims boundary; copy contracts","rendered scan and journey corpus","Core meal surfaces carry the boundary but Pantry says items fit your range and work better for you",FAILED,AUD-016
P06,"Ambiguity gets at most one honest clarification instead of a guess or loop","check; onboarding; landing","ambiguous-input user","One-question cap applies to deterministic and model-authored clarification paths","classifyInputBeforeModel; clarified flag; mapModelOutput","service and browser follow-up corpus","Deterministic questions are capped; a clarified follow-up can still return a model-authored clarify",FAILED,AUD-014
P07,"Voice and text use the same reviewed path and audio never reaches Revora servers","check; launch scope","voice user","Browser transcript remains editable and submits through the normal text engine","VoiceInputButton; FoodCheckForm","supported denied silence wrong-transcript correction and network inspection","Nine project cases passed across Mobile Chrome Mobile Safari and Desktop with mocked speech states; no real supported-device microphone capture or production network inspection was performed",PARTIAL,
P08,"Photo when enabled creates an editable draft and never an unquestioned medical judgment","check; privacy","authorized photo user","Dual flags; image-to-draft; uncertainty confirmation; confirmed text enters standard check path; bounded deletion","photo flag; photo-draft route; PhotoDraftReview","off/on browser and API corpus plus provider/storage proof","Production flags are fully on and the source uses an editable draft; safe default E2E covers only the isolated path and the live photo eval skipped. Entitlement-read failure can still spend/send the image",FAILED,"AUD-003; AUD-022"
P09,"Clinical pediatric and out-of-scope input stops before a meal verdict or paid model call","check","clinical pediatric or out-of-range user","Deterministic classification precedes model construction and returns the appropriate non-verdict boundary","check route; checkFood service","deterministic corpus and call-count assertions with missing/unavailable provider","Missing model configuration preempts every deterministic route; pediatric context has no route; possible-hypoglycemia copy itself violates scope",FAILED,"AUD-015; AUD-025; AUD-030"
P10,"First day needs no login or card and offers a device-local allowance","landing; check; FAQ; store draft","guest","Trial-mode taster meter is disclosed and behaves across day/device states","TASTER_LIMIT; tasterStore; FoodCheckForm","fresh exhausted expired storage-denied browser journeys","Source uses a shared count; complete browser lifecycle pending",PARTIAL,
